category,title,url,path,nav,summary
Core,Home,https://guidefs.co.uk/,/,Yes,"Homepage with four service highlights, mortgage-led company introduction, a six-stage 'plan towards your goals' process, a second main-services grid, callback CTA, client testimonials, partner/membership logos, office details and regulatory footer."
About,Our Company,https://guidefs.co.uk/gfs-our-company,/gfs-our-company,Yes,"Corporate overview positioning Guide around Residential Mortgages, Specialist Property Finance, Protection Planning and Will Writing & Estate Planning. Includes service summaries, reasons to choose Guide, mission, vision and values."
About,Testimonials,https://guidefs.co.uk/testimonials,/testimonials,Yes,"Paginated client testimonial library. Public crawl shows four pages of testimonials, with several mortgage-focused client stories and named reviewers."
About,FAQs,https://guidefs.co.uk/faq,/faq,Yes,"Mortgage FAQ covering what a mortgage is, indicative borrowing, mortgage types, ownership costs, overpayments/early repayment and typical application-to-completion timing."
About,Terms of Business,https://guidefs.co.uk/sites/default/files/clients/966/Gfs-tob-may2025.pdf,/sites/default/files/clients/966/Gfs-tob-may2025.pdf,Yes,"PDF containing firm/regulatory disclosures, service basis, communication methods, fees, conflicts, third-party introductions, client money handling, complaints and related terms."
About,Privacy Notice,https://guidefs.co.uk/sites/default/files/clients/966/Gfs-privacy-notice.pdf,/sites/default/files/clients/966/Gfs-privacy-notice.pdf,Yes,"PDF privacy notice describing collection and use of personal, financial and in some cases health information, data sources, processing and data protection rights."
Legacy / hidden,Our Team,https://guidefs.co.uk/our_team,/our_team,No,"Team page still publicly available but not present in the current main About menu. Profiles Jiwan Singh Dhanik, Pravin Singh, Rajesh D'sa and Prasanna Shetty with qualifications, role, bio, phone and profile links."
Legacy / hidden,How We Work,https://guidefs.co.uk/gfs-how-we-work,/gfs-how-we-work,No,"Six-phase advice-process page covering About You, Goals & Ambitions, Analysis, Personal Financial Plan, Implementation and Review. Contains investment-planning language that should be compliance-reviewed before reuse."
Mortgages,Introduction To Mortgages,https://guidefs.co.uk/introduction-to-mortgages,/introduction-to-mortgages,Yes,"Explains residential mortgages as secured lending and covers basic lender conditions, affordability/stress testing, deposits and lender assessment factors."
Mortgages,Mortgage Repayment,https://guidefs.co.uk/mortgage-repayment,/mortgage-repayment,Yes,"Explains repayment mortgages versus interest-only mortgages, capital and interest treatment, term effects and the need for an interest-only repayment strategy."
Mortgages,Buy-to-let,https://guidefs.co.uk/buy-to-let-mortgages,/buy-to-let-mortgages,Yes,"Overview of BTL mortgages, eligibility/lending criteria, credit record, rental coverage and common lender/property restrictions."
Mortgages,Remortgaging,https://guidefs.co.uk/remortgaging,/remortgaging,Yes,"Explains remortgaging and common reasons including home improvements, debt consolidation, reviewing rates, changing terms and potentially avoiding a house move."
Mortgages,Standard Variable Rate Mortgages,https://guidefs.co.uk/standard-variable-rate-mortgages,/standard-variable-rate-mortgages,Yes,"Explains lender-controlled SVR pricing, relationship to Bank of England base rate, repayment uncertainty, fees and possible early-repayment-charge differences."
Mortgages,Fixed Rate Mortgages,https://guidefs.co.uk/fixed-rate-mortgages,/fixed-rate-mortgages,Yes,"Explains fixed-rate mortgage periods, payment certainty, potential fees and what typically happens when the fixed period ends."
